iter	Passed	Remaining
0	117	117338
1	119	59686
2	121	40268
3	122	30518
4	124	24724
5	125	20872
6	127	18064
7	128	15987
8	130	14393
9	133	13206
10	135	12208
11	137	11354
12	139	10591
13	141	9937
14	142	9382
15	144	8883
16	146	8449
17	148	8091
18	150	7759
19	151	7437
20	153	7143
21	154	6888
22	157	6677
23	159	6472
24	160	6263
25	161	6068
26	163	5889
27	165	5745
28	167	5602
29	169	5467
30	170	5339
31	172	5220
32	174	5107
33	175	4994
34	177	4907
35	180	4835
36	182	4745
37	184	4669
38	186	4589
39	187	4503
40	189	4421
41	190	4351
42	193	4298
43	194	4231
44	196	4170
45	198	4111
46	199	4047
47	200	3986
48	202	3934
49	204	3883
50	207	3861
51	209	3819
52	211	3770
53	212	3720
54	213	3675
55	215	3628
56	216	3587
57	218	3546
58	220	3520
59	222	3491
60	224	3457
61	226	3429
62	228	3394
63	229	3359
64	231	3324
65	232	3292
66	234	3261
67	236	3244
68	239	3225
69	240	3196
70	242	3169
71	243	3141
72	245	3115
73	246	3090
74	248	3063
75	250	3040
76	251	3019
77	253	2997
78	255	2973
79	256	2953
80	258	2931
81	259	2908
82	260	2879
83	262	2858
84	263	2836
85	265	2817
86	267	2807
87	269	2791
88	271	2778
89	272	2759
90	274	2740
91	275	2721
92	277	2703
93	278	2685
94	280	2667
95	281	2651
96	283	2640
97	285	2623
98	286	2609
99	288	2596
100	290	2581
101	291	2567
102	293	2552
103	294	2540
104	296	2526
105	298	2519
106	300	2509
107	302	2501
108	304	2489
109	305	2475
110	307	2460
111	308	2446
112	309	2433
113	311	2421
114	313	2413
115	315	2402
116	316	2390
117	318	2378
118	319	2366
119	321	2355
120	322	2343
121	323	2328
122	325	2319
123	327	2312
124	328	2302
125	330	2292
126	331	2280
127	333	2270
128	340	2296
129	341	2286
130	343	2276
131	345	2268
132	346	2258
133	347	2248
134	349	2239
135	350	2229
136	352	2219
137	353	2209
138	355	2199
139	356	2190
140	358	2184
141	359	2171
142	360	2162
143	362	2154
144	363	2145
145	365	2137
146	366	2128
147	368	2119
148	369	2110
149	371	2102
150	373	2101
151	375	2093
152	377	2087
153	378	2078
154	380	2072
